title,company,location,education,experience,contract_type,skills,date_posted,description,url,scrape_date,job_hash
Field Officer - Darkuman and Accra Central,N/A,N/A,N/A,N/A,N/A,N/A,30.04.2025,"We are looking for  Field Officers.    Responsibilities :    prospect for new clients  educate clients on loan products and service  register qualified clients  walk them via loan process  recovery of due payments  
+plus",https://www.ghanajob.com/job-vacancies-ghana/field-officer-darkuman-accra-central-193194,2025-05-02,fc60a7ad2a636d842553e646be2f64e0
"Student Recruiter / Digital Marketing Officer - Near Cocoa Clinic, Kaneshie Accra",N/A,N/A,N/A,N/A,N/A,N/A,30.04.2025,"We are seeking an enthusiastic, results-driven  Student Recruiter/Digital Marketing Officer  who will be responsible for generating and managing leads, increasing brand visibility, and driving student applications to top universities abroad. The role requires a combination of digital marketing expertise, student engagement skills, and a passion for education.   Key Responsibilities:    Develop and execute digital marketing campaigns to attract prospective students to our services.  Manage social media channels, website content, and email marketing to generate leads and increase conversions.  Conduct online webinars, info sessions, and virtual fairs to engage prospective students and educate them about study-abroad opportunities... 
+plus",https://www.ghanajob.com/job-vacancies-ghana/student-recruiter-digital-marketing-officer-near-cocoa-clinic-kaneshie-accra,2025-05-02,78ab20534e775d0f0496807b5dbec6b5
Sales Manager  - Accra,N/A,N/A,N/A,N/A,N/A,N/A,30.04.2025,"We are looking for a  Sales Manager.    Responsibilities :    Managing organizational sales by developing a business plan that covers sales, revenue, and expense controls.  Meeting planned sales goals.  Setting individual sales targets with the sales team.  Tracking sales goals and reporting results as necessary.  Overseeing the activities and performance of the sales team.  Coordinating with marketing on lead generation.  The ongoing training of your salespeople.  Developing your sales team through motivation, counseling, and product knowledge education.  Promoting the organization and products.  Understand our ideal customers and how they relate to our products  
+plus",https://www.ghanajob.com/job-vacancies-ghana/sales-manager-accra-193237,2025-05-02,991b2e19644717497458fe7665323f57
Expat General Manager – Civil Engineering and Construction - Accra,N/A,N/A,N/A,N/A,N/A,N/A,30.04.2025,"We are recruiting on behalf of our client for a highly experienced  Expat General Manager  in the civil engineering and construction sector. The ideal candidate will have extensive experience managing large-scale projects and leading diverse teams in international settings, optimizing business operations, and leading multi-disciplinary teams in international and multicultural environments. The ideal candidate is a results-driven executive who excels in project execution, financial management, stakeholder engagement, and operational efficiency. You will play a critical role in expanding our business, ensuring compliance with international construction standards, and implementing best practices that enhance productivity and... 
+plus",https://www.ghanajob.com/job-vacancies-ghana/expat-general-manager-civil-engineering-construction-accra-193561,2025-05-02,4f7dc825e85df886bab8281284aef000
Business Manager - Accra,N/A,"We are seeking a highly motivated and experienced  Business Manager  to lead our luxury retail store in Accra, Ghana.  The Business Manager will oversee daily operations of a prestigious luxury retail store, ensuring exceptional customer satisfaction, achieving sales targets, and maintaining efficient inventory management. This role involves leading a team, maintaining the store’s premium ambience, and implementing sales strategies to drive profitability and enhance the visibility of a globally recognized luxury brand.   Key Responsibilities     Open and manage the store daily, ensuring operational readiness and a premium ambience (cleanliness, layout, music, etc.)    Train and develop team members on luxury... 
+plus",N/A,N/A,N/A,N/A,30.04.2025,"We are seeking a highly motivated and experienced  Business Manager  to lead our luxury retail store in Accra, Ghana.  The Business Manager will oversee daily operations of a prestigious luxury retail store, ensuring exceptional customer satisfaction, achieving sales targets, and maintaining efficient inventory management. This role involves leading a team, maintaining the store’s premium ambience, and implementing sales strategies to drive profitability and enhance the visibility of a globally recognized luxury brand.   Key Responsibilities     Open and manage the store daily, ensuring operational readiness and a premium ambience (cleanliness, layout, music, etc.)    Train and develop team members on luxury... 
+plus",https://www.ghanajob.com/job-vacancies-ghana/business-manager-accra-193582,2025-05-02,ccdb3637094a287dc61a7a4abf9b32da
"General Manager - Lagos, Nigeria",N/A,"Are you an experienced leader in the transportation sector with a passion for efficiency, customer satisfaction, and operational excellence? A leading interstate passenger transport company with offices across Nigeria and Accra, Ghana, is seeking a dynamic  General Manager  to drive its strategic vision and business growth.   Key Responsibilities:    Oversee daily operations, ensuring seamless and efficient transport services across multiple states and international routes.  Develop and implement business strategies to enhance revenue, customer experience, and operational efficiency.  Manage a diverse team, fostering a culture of excellence, accountability, and customer-centric service.  Ensure compliance with transportation... 
+plus",N/A,N/A,N/A,N/A,30.04.2025,N/A,https://www.ghanajob.com/job-vacancies-ghana/general-manager-lagos-nigeria-193726,2025-05-02,f80515be25ee1b0d3600b82cd9eca0fe
NOC Office Assistant - Accra,N/A,N/A,N/A,N/A,N/A,N/A,30.04.2025,"We are looking for a  NOC Office Assistant.    Responsibilities :    Monitor Base Station Signals and Connectivity  Ensure Stable Network Connection  Backup and Storage of Data  Firewall Management  Report on Performance, quality and system optimization  Troubleshooting of Network Systems  Remote Troubleshooting of customer connectivity issues  Incident response  General Network Monitoring  Any other duty that might seem fit.  
+plus",https://www.ghanajob.com/job-vacancies-ghana/noc-office-assistant-accra-193798,2025-05-02,e59ec305b2c702dc4104551fe64bbbcb
"Sales Executives - Accra, Cape Coast, and Kumasi",N/A,N/A,N/A,N/A,N/A,N/A,30.04.2025,N/A,https://www.ghanajob.com/job-vacancies-ghana/sales-executives-accra-cape-coast-kumasi-193799,2025-05-02,6850ba6a6caea1c5080388b40dbd34f4
Content and Outreach Specialist (Writing and Outbound Calls) - Remote In US,N/A,N/A,N/A,N/A,N/A,N/A,30.04.2025,"We are looking for a skilled  Content and Outreach Specialist (Writing and Outbound Calls)  with a clear, easy-to-understand English accent, strong writing abilities, and confidence in making outbound calls. This role involves creating well-structured training materials, scripts, and tutorials while also handling outbound calls for business communications. The ideal candidate should be proficient.   Responsibilities:    Write clear, professional training materials, scripts, and documents.  Develop structured content for training, tutorials, and presentations.  Make outbound calls to clients, partners, and prospects with confidence.  Communicate effectively in both written and spoken English.  Assist with administrative tasks... 
+plus",https://www.ghanajob.com/job-vacancies-ghana/content-outreach-specialist-writing-outbound-calls-remote-us-193859,2025-05-02,fdb738ee43e3deaabcc16ea15952be40
Sales Representatives - Accra,N/A,N/A,N/A,N/A,N/A,N/A,30.04.2025,"We are looking for  Sales   Representatives  to sell non life insurance products to customers and prospective ones. 
+plus",https://www.ghanajob.com/job-vacancies-ghana/sales-representatives-accra-193942,2025-05-02,119d0a7c701982f8765af872a0c84364
